id,BRAIN_dice,BRAIN_haus95,BRAIN_avg_surf
A00060407,0.9899409158213481,0.0,0.42266539651264956
A00037848,0.9872956792007573,0.0,0.4217810452337474
A00058952,0.9900098167020719,0.0,0.3625862022605502
A00033747,0.9906523476483756,0.0,0.24757905043349698
A00060430,0.9893737713066525,0.0,0.30494929233112755
A00040628,0.990774635692632,0.0,0.25115714553474955
A00059845,0.990233599210836,0.0,0.2821607823693142
A00028185,0.9851251093965107,0.0,0.5218555407022952
A00037511,0.9905277187520448,0.0,0.38593756577775745
A00057372,0.9868807133410413,0.0,0.5238057565662926
A00062282,0.9890890972530157,0.0,0.5337945065713723
A00061711,0.9884104978925183,0.0,0.4108744164826078
A00057444,0.9877655186012202,0.0,0.35260542185163773
A00055446,0.9883993288158578,0.0,0.3331695439676484
A00040193,0.9897922053370295,0.0,0.3003498799752662
A00062942,0.9904966373106974,0.0,0.2957477570399396
A00050940,0.9876648595525626,0.0,0.45093297554404294
A00056452,0.9889092012552549,0.0,0.3607384096602689
A00040623,0.9879797242654044,0.0,0.41001399916117637
A00061806,0.9864000843661256,0.0,0.5361493739241174
A00059344,0.9878936933888022,0.0,0.4721674960211818
A00063368,0.9855768229967771,0.0,0.4250774962884374
A00055763,0.9852049628481895,0.0,0.420735351734277
A00043299,0.9909145487292375,0.0,0.23674826637429092
A00053455,0.9904766638021615,0.0,0.3032268726282574
Mean,0.9886315261394849,0.0,0.3826723817978602
Std,0.001774103135849222,0.0,0.09036578890749172
25th Percentile,0.9876648595525626,0.0,0.3032268726282574
50th Percentile,0.9889092012552549,0.0,0.38593756577775745
75th Percentile,0.990233599210836,0.0,0.4250774962884374
