id,LA_dice,LA_haus95
la_022,0.9194379458326755,1.3700027465820312
la_011,0.9174109012918685,1.7677669525146484
la_007,0.9251660131692916,1.3699951171875
la_016,0.8875792307024398,2.7950849533081055
la_019,0.897048431283337,2.739999771118164
la_017,0.9248480042294476,1.25
la_010,0.9065454229245083,1.8545639514923096
la_014,0.9262207716791262,1.25
la_020,0.8829055556513195,3.709127902984619
la_003,0.8758827512818032,2.5
la_023,0.8910828905553253,3.011662244796753
la_004,0.908467731672761,1.3700027465820312
la_024,0.8730621257996221,3.75
la_009,0.5433198996274047,12.747549057006836
la_030,0.851644956073917,6.023321151733398
la_029,0.8561722920396927,5.0
la_005,0.8558363417569194,6.963115692138672
la_021,0.9254038664412726,1.25
la_026,0.8835615750183363,4.809634685516357
la_018,0.9084070346650401,1.8545583486557007
