id,BRAIN_dice,BRAIN_haus95,BRAIN_avg_surf
A00060407,0.9869781934452321,0.0,0.7395887370829685
A00037848,0.9859671110098363,0.0,0.5746969037827685
A00058952,0.9879023483383049,0.0,0.5212777443527788
A00033747,0.9896649259266772,0.0,0.3409544170655186
A00060430,0.9876286666749284,0.0,0.359482214659239
A00040628,0.98850939167834,0.0,0.34279971994648867
A00059845,0.9880121907044286,0.0,0.3850163963733373
A00028185,0.9831945745051656,0.0,0.7008121481637053
A00037511,0.9887314574327976,0.0,0.6133387282185901
A00057372,0.9831684120599035,0.0,0.7800570253694346
A00062282,0.9868033244484338,0.0,0.8007481820234152
A00061711,0.9872108778657336,0.0,0.5248841889312852
A00057444,0.9856188181746367,0.0,0.5280627170907737
A00055446,0.9856673226623933,0.0,0.4521254385845796
A00040193,0.9887822159404637,0.0,0.36049387858480064
A00062942,0.9889436911629297,0.0,0.39442349868272075
A00050940,0.9852508469085588,0.0,0.604477725052744
A00056452,0.9868703558406794,0.0,0.45549315678484603
A00040623,0.9864872597828254,0.0,0.5156434302914455
A00061806,0.9825635266617098,0.0,0.8448246047671
A00059344,0.9862456972320044,0.0,0.7252927668611793
A00063368,0.983128299648732,0.0,0.5516917304813027
A00055763,0.9837887020079655,0.0,0.5437451832391126
A00043299,0.9883375137904574,0.0,0.35202656092319407
A00053455,0.988531421076241,0.0,0.43207247218145955
Mean,0.9865594857991755,0.0,0.5377611827797915
Std,0.0020370434168550085,0.0,0.15244920421479838
25th Percentile,0.9856188181746367,0.0,0.39442349868272075
50th Percentile,0.9868703558406794,0.0,0.5248841889312852
75th Percentile,0.9883375137904574,0.0,0.6133387282185901
