id,LA_dice,LA_haus95
la_022,0.9164023885031857,1.7677669525146484
la_011,0.9004038031224013,3.1127779483795166
la_007,0.9221297868505677,2.236499071121216
la_016,0.9113058437718402,2.7400007247924805
la_019,0.8526438650242815,5.563684940338135
la_017,0.9079660800996645,1.8545639514923096
la_010,0.9265727404732939,1.25
la_014,0.9241812610470905,2.236492156982422
la_020,0.8617030667914334,3.791689157485962
la_003,0.8665037515503543,3.75
la_023,0.7383993838194475,12.235383033752441
la_004,0.9034172472952627,2.5
la_024,0.9012046670317173,1.8545639514923096
la_009,0.8171933893882285,8.367054462432861
la_030,0.9276522115280632,1.25
la_029,0.9066720294540785,1.3699989318847656
la_005,0.9209558500061589,1.7677669525146484
la_021,0.9232128432956381,1.25
la_026,0.9289190573770492,1.25
la_018,0.9248727335478065,1.25
