id,COVID_dice,COVID_haus95
volume-covid19-A-0573,0.6989294974296337,26.74481773376465
volume-covid19-A-0372,0.7795921233989132,12.114188051223755
volume-covid19-A-0670,0.5590140298747777,105.88091278076172
volume-covid19-A-0178,0.7884625534385391,11.267351150512509
volume-covid19-A-0151,0.747268172591025,18.344589614868163
volume-covid19-A-0581,0.7388443710017435,133.7455917358397
volume-covid19-A-0652,0.22992235961056567,81.21270332336424
volume-covid19-A-0522,0.5712473202957519,102.80504608154297
volume-covid19-A-0338,0.48630774343635763,49.19204406738281
volume-covid19-A-0473,0.2818692694469092,201.1762710571289
volume-covid19-A-0643,0.6150238825500437,150.76487731933594
volume-covid19-A-0314,0.6090935418476687,20.405213451385514
volume-covid19-A-0179,0.8252276179474819,10.507277011871338
volume-covid19-A-0347,0.8759431127729185,4.345001220703125
volume-covid19-A-0559,0.19201331790405424,104.17062377929688
volume-covid19-A-0494,0.6711384386062977,21.809441566467278
volume-covid19-A-0133,0.8246287717320462,198.87904510498046
volume-covid19-A-0657,0.5652528188354153,36.53483581542969
volume-covid19-A-0046,0.4506966557835195,29.50325269699095
volume-covid19-A-0623,0.5854908569279835,94.22940711975095
volume-covid19-A-0173,0.3355106888361045,11.53900146484375
volume-covid19-A-0423,0.693972365580794,18.193296432495117
volume-covid19-A-0038,0.754872670365628,177.9195343017578
volume-covid19-A-0414,0.36468253968253966,98.47557373046872
volume-covid19-A-0074,0.19803286644877036,118.0544605255127
volume-covid19-A-0053,0.5019392518095925,24.947933197021484
volume-covid19-A-0296,0.5022605135204299,106.1555923461914
volume-covid19-A-0576,0.3144985700330717,40.0
volume-covid19-A-0495,0.7255096612874262,104.7103271484375
volume-covid19-A-0233,0.640667498423541,21.732975006103516
volume-covid19-A-0498,0.7015342423223202,10.893521308898926
volume-covid19-A-0270,0.8487921750154104,118.49465522766113
volume-covid19-A-0686,0.19283627978478093,133.89301986694335
volume-covid19-A-0239,0.32667576921855646,133.85252151489257
volume-covid19-A-0658,0.525662215649602,82.07862930297836
volume-covid19-A-0656,0.8037260880554659,11.557992935180664
volume-covid19-A-0377,0.8222884426534828,6.831690788269043
volume-covid19-A-0526,0.668066124376804,116.99527740478514
volume-covid19-A-0263,0.9102545708600266,3.7050018310546875
volume-covid19-A-0569,0.0,204.95124588012695
volume-covid19-A-0586,0.15942199064294543,155.02372283935543
volume-covid19-A-0502,0.5760834251210409,184.3253494262695
volume-covid19-A-0147,0.051610210753286506,224.49000854492186
volume-covid19-A-0678,0.5133992066678925,69.88313217163086
volume-covid19-A-0402,0.4622411284003135,111.38936805725096
volume-covid19-A-0475,0.3112105798575789,109.14826660156237
volume-covid19-A-0167,0.0732871846552892,149.9476676940918
volume-covid19-A-0387,0.7817189554910297,60.03131713867174
volume-covid19-A-0397,0.19541195335594996,81.53211975097656
volume-covid19-A-0114,0.6202247965797821,133.83209381103518
volume-covid19-A-0694,0.18101890744214416,197.15262985229492
volume-covid19-A-0380,0.4000137852601106,111.04586791992188
volume-covid19-A-0110,0.7010572818425493,47.29066123962402
volume-covid19-A-0267,0.22681524083393245,139.20380783081055
volume-covid19-A-0531,0.11823218332913624,264.46592407226564
volume-covid19-A-0301,0.8022641232035873,98.99535598754868
volume-covid19-A-0665,0.057161945210428895,154.79422531127867
volume-covid19-A-0299,0.5984018188505132,30.264225006103516
volume-covid19-A-0614,0.3963705430848544,87.49249954223632
volume-covid19-A-0547,0.4386741589589375,84.7597915649414
volume-covid19-A-0355,0.6056055933057273,202.92955780029294
volume-covid19-A-0003,0.5800692003308163,112.78373870849609
volume-covid19-A-0246,0.5432592026792797,136.941837310791
volume-covid19-A-0351,0.12278509261325597,86.4008903503418
volume-covid19-A-0698,0.3067683751307498,93.87018966674805
