id,LA_dice,LA_haus95
la_022,0.9165209728085512,1.7677669525146484
la_011,0.8858834686835038,3.75
la_007,0.8577186338209235,14.042413711547852
la_016,0.9127986761381983,1.369999885559082
la_019,0.8438904219663569,5.274477481842041
la_017,0.9175908641704184,1.7677669525146484
la_010,0.9303008261027692,1.25
la_014,0.93440776493533,1.25
la_020,0.8771184244622959,3.75
la_003,0.9192052367404528,1.25
la_023,0.7738937497383513,11.182462692260742
la_004,0.9003867159672988,2.5
la_024,0.9197143569238104,1.25
la_009,0.7926871764237355,8.75
la_030,0.9325733291029835,1.25
la_029,0.8686574013373543,3.75
la_005,0.9206137543560202,1.8545639514923096
la_021,0.9266468767763533,1.25
la_026,0.9309056610752529,1.25
la_018,0.9063431085415796,1.7677669525146484
