id,BRAIN_dice,BRAIN_haus95,BRAIN_avg_surf
A00060407,0.9892086397251996,0.0,0.5649864177148334
A00037848,0.9876198724135403,0.0,0.4039015270939399
A00058952,0.9897853057754219,0.0,0.35133768242529223
A00033747,0.9909581494142244,0.0,0.24460091270022988
A00060430,0.989450201103523,0.0,0.3039410452926852
A00040628,0.991082553602768,0.0,0.2552590448769767
A00059845,0.9899034442860273,0.0,0.28126550053597255
A00028185,0.9846921957320225,0.0,0.5405849392009908
A00037511,0.9903561911379708,0.0,0.4724617603829344
A00057372,0.9802629621819159,0.0,1.0906118479071336
A00062282,0.9887843188027838,0.0,0.5230244089810436
A00061711,0.9887500875808319,0.0,0.4479526412743544
A00057444,0.9867911778418361,0.0,0.4403604513028855
A00055446,0.9888797576516138,0.0,0.3264441698003253
A00040193,0.9907927859292347,0.0,0.28287608580808304
A00062942,0.9913025875945756,0.0,0.3025628125474662
A00050940,0.9873470053914397,0.0,0.4614099408598533
A00056452,0.9886150324868466,0.0,0.36312425592233194
A00040623,0.9886609253128721,0.0,0.42724157342531155
A00061806,0.9869208608815213,0.0,0.5155194082635274
A00059344,0.9887943815426887,0.0,0.461686181649255
A00063368,0.9850427637631741,0.0,0.5630006998259829
A00055763,0.9862854597346606,0.0,0.3969547194760964
A00043299,0.9910133713375175,0.0,0.24054589390466224
A00053455,0.9905447809268787,0.0,0.3283269260325579
Mean,0.9884737924860435,0.0,0.42359923388818904
Std,0.0024650566110188577,0.0,0.16898690087213739
25th Percentile,0.9873470053914397,0.0,0.3039410452926852
50th Percentile,0.9887943815426887,0.0,0.4039015270939399
75th Percentile,0.9903561911379708,0.0,0.4724617603829344
