id,WT_dice,WT_haus95
BraTS20_Training_313,0.9536328048766487,1.0
BraTS20_Training_056,0.8843365777445681,2.4494898319244385
BraTS20_Training_187,0.9149766400111988,2.0
BraTS20_Training_178,0.9632568163055248,0.0
BraTS20_Training_221,0.9515169096293558,1.0
BraTS20_Training_346,0.9548230827141502,1.0
BraTS20_Training_245,0.8565840985765574,6.082762718200684
BraTS20_Training_134,0.8302731497223168,4.0
BraTS20_Training_320,0.8417763355567575,10.0
BraTS20_Training_182,0.9299701294390973,1.0
BraTS20_Training_353,0.9336263449341269,1.0
BraTS20_Training_096,0.9601886003270086,0.0
BraTS20_Training_128,0.9127854140633875,1.0
BraTS20_Training_159,0.8470376522702104,10.0
BraTS20_Training_290,0.8849883982751938,5.099019527435303
BraTS20_Training_293,0.7936948378756419,4.123105525970459
BraTS20_Training_183,0.9459555305375739,1.0
BraTS20_Training_119,0.8211499566599249,3.1622776985168457
BraTS20_Training_026,0.9381339295452067,1.0
BraTS20_Training_266,0.9434363139443924,1.0
BraTS20_Training_019,0.8719108423498838,3.1622776985168457
BraTS20_Training_227,0.7884720892455651,11.445523262023926
BraTS20_Training_302,0.8438883868616418,2.8284270763397217
BraTS20_Training_277,0.706445819197765,127.5276428222656
BraTS20_Training_219,0.8688327316486162,6.164413928985596
BraTS20_Training_048,0.6645088783996403,13.67479419708252
BraTS20_Training_249,0.8713005988023952,5.099019527435303
BraTS20_Training_365,0.9635797654905336,0.0
BraTS20_Training_223,0.9697381038369096,0.0
BraTS20_Training_027,0.7550879357517808,7.681145668029785
BraTS20_Training_368,0.9347778438801391,1.0
BraTS20_Training_171,0.8783580819067436,4.582575798034668
BraTS20_Training_028,0.8832352289239711,1.4142135381698608
BraTS20_Training_241,0.9576640039547452,1.0
BraTS20_Training_260,0.7298166647204322,26.88865852355957
BraTS20_Training_045,0.9448693013451728,1.0
BraTS20_Training_337,0.9687673142571178,0.0
BraTS20_Training_165,0.9536301433162988,1.0
BraTS20_Training_332,0.9583589323503312,1.0
BraTS20_Training_336,0.9760513165888787,0.0
BraTS20_Training_199,0.958492478898477,1.0
BraTS20_Training_067,0.9499029034616685,1.0
BraTS20_Training_155,0.9399126637554586,1.0
BraTS20_Training_356,0.8208967458127272,6.4031243324279785
BraTS20_Training_038,0.9059419314592778,1.0
BraTS20_Training_299,0.9490886293021584,1.0
BraTS20_Training_072,0.7606312650619357,5.830951690673828
BraTS20_Training_097,0.9289094093297245,1.0
BraTS20_Training_317,0.9519705932471579,1.0
BraTS20_Training_043,0.8068819733176544,6.4031243324279785
BraTS20_Training_138,0.9294862932532786,1.4142135381698608
BraTS20_Training_354,0.8883654871920106,2.2360680103302
BraTS20_Training_011,0.9148639882368205,1.0
BraTS20_Training_193,0.8138119777564271,46.69047164916992
BraTS20_Training_005,0.6872595674351011,62.93647766113281
BraTS20_Training_279,0.7523800272003108,76.40026092529297
BraTS20_Training_281,0.8856907703178016,2.2360680103302
BraTS20_Training_003,0.8039533674000184,2.2360680103302
BraTS20_Training_006,0.9366757574625472,1.0
BraTS20_Training_162,0.9416297513225962,1.0
BraTS20_Training_366,0.9510258177384296,1.0
BraTS20_Training_065,0.7849952277188497,4.242640495300293
BraTS20_Training_144,0.9295389212403911,1.0
BraTS20_Training_331,0.8547375314514184,2.4494898319244385
BraTS20_Training_002,0.8668448762483716,2.2360680103302
BraTS20_Training_357,0.9277870773351189,1.0
BraTS20_Training_161,0.9496029847890557,1.0
BraTS20_Training_158,0.8256111166028837,5.196152210235596
BraTS20_Training_289,0.9565256755749176,1.0
BraTS20_Training_041,0.9449840066973467,1.0
BraTS20_Training_301,0.8933956848230281,2.2360680103302
BraTS20_Training_181,0.9364483806698369,1.0
BraTS20_Training_315,0.9762842976167974,0.0
BraTS20_Training_040,0.9329907072638719,1.0
BraTS20_Training_082,0.5515928954045672,7.071067810058594
BraTS20_Training_312,0.8998767056703536,2.2360680103302
BraTS20_Training_054,0.8932899712805611,1.4142135381698608
BraTS20_Training_154,0.8651355838406197,3.7416574954986572
BraTS20_Training_236,0.9101475425682425,1.0
BraTS20_Training_185,0.9203387276617545,2.0
BraTS20_Training_341,0.8968380213385062,1.4142135381698608
BraTS20_Training_340,0.958177508559389,1.0
BraTS20_Training_125,0.9716663998719385,0.0
BraTS20_Training_282,0.9545297866995391,1.0
BraTS20_Training_314,0.5153933865450399,19.79899024963379
BraTS20_Training_131,0.9217507335157962,1.0
BraTS20_Training_108,0.9252010492030093,1.0
BraTS20_Training_135,0.9220461091799018,1.0
BraTS20_Training_202,0.9342838931530769,1.0
BraTS20_Training_270,0.9657566812268897,0.0
BraTS20_Training_070,0.9263661261574578,1.0
BraTS20_Training_308,0.9161129436181984,2.0
BraTS20_Training_035,0.8099785700930547,6.082762718200684
BraTS20_Training_304,0.8774385806854015,3.0
BraTS20_Training_004,0.9493135078863114,1.0
BraTS20_Training_129,0.9146516080248404,1.0
BraTS20_Training_369,0.9489443360621365,1.0
BraTS20_Training_231,0.969907643300082,0.0
BraTS20_Training_046,0.5121598263456205,15.0
BraTS20_Training_060,0.9148078954750833,1.0
BraTS20_Training_324,0.8983320697498105,1.4142135381698608
BraTS20_Training_163,0.9582272355620817,1.0
BraTS20_Training_235,0.9537922554955937,1.0
BraTS20_Training_189,0.9530275287118116,1.0
BraTS20_Training_059,0.719062243176608,8.0
BraTS20_Training_173,0.8118710407039926,4.582575798034668
BraTS20_Training_348,0.9697523800535586,0.0
BraTS20_Training_321,0.9388598611869298,1.0
