id,WT_dice,WT_haus95
BraTS20_Training_313,0.9466030394925289,1.0
BraTS20_Training_056,0.8109278481818761,6.0
BraTS20_Training_187,0.9162751949644784,2.0
BraTS20_Training_178,0.9664032700525701,0.0
BraTS20_Training_221,0.9410201330159529,1.0
BraTS20_Training_346,0.9260030280090841,1.4142135381698608
BraTS20_Training_245,0.8067547867752033,5.74456262588501
BraTS20_Training_134,0.6416584729027407,9.69536018371582
BraTS20_Training_320,0.7752127157661834,11.832159996032715
BraTS20_Training_182,0.8068535505541802,47.86595802307123
BraTS20_Training_353,0.912798632855062,1.4142135381698608
BraTS20_Training_096,0.9538145740677386,1.0
BraTS20_Training_128,0.9047681292027944,2.2360680103302
BraTS20_Training_159,0.7181072654387298,13.429433250427191
BraTS20_Training_290,0.8794422890397673,2.8284270763397217
BraTS20_Training_293,0.43869583204054197,16.309507369995117
BraTS20_Training_183,0.9378609561990195,1.0
BraTS20_Training_119,0.7667719817155149,12.369317054748535
BraTS20_Training_026,0.9271320834307148,1.0
BraTS20_Training_266,0.9069522735813604,2.4494898319244385
BraTS20_Training_019,0.8840397225125916,2.2360680103302
BraTS20_Training_227,0.740929994890138,15.264337539672852
BraTS20_Training_302,0.6731882313837408,8.602325439453125
BraTS20_Training_277,0.6524902543028835,119.32120361328123
BraTS20_Training_219,0.7675288312807158,23.53720474243164
BraTS20_Training_048,0.5680182808245818,14.866068840026855
BraTS20_Training_249,0.9067631708159813,2.0
BraTS20_Training_365,0.9115667412997208,1.0
BraTS20_Training_223,0.9711435939398447,0.0
BraTS20_Training_027,0.7568633954150631,5.916079998016357
BraTS20_Training_368,0.9006131235060266,1.4142135381698608
BraTS20_Training_171,0.8138948415282432,6.0
BraTS20_Training_028,0.8396115223233228,12.165525436401367
BraTS20_Training_241,0.9354327860566166,1.0
BraTS20_Training_260,0.6491980520931064,29.832868576049805
BraTS20_Training_045,0.9402599031241672,1.0
BraTS20_Training_337,0.9413584675538975,1.0
BraTS20_Training_165,0.9527130411249778,0.0
BraTS20_Training_332,0.9423769205595321,1.0
BraTS20_Training_336,0.9600595168631112,1.0
BraTS20_Training_199,0.9569127809875655,1.0
BraTS20_Training_067,0.9425301970756516,1.0
BraTS20_Training_155,0.94618853308369,1.0
BraTS20_Training_356,0.8025172461629652,60.14149856567383
BraTS20_Training_038,0.8598928995158032,2.2360680103302
BraTS20_Training_299,0.7593599434204129,7.141428470611572
BraTS20_Training_072,0.7841929030670646,4.690415859222412
BraTS20_Training_097,0.8887712716065925,1.4142135381698608
BraTS20_Training_317,0.9465677528406423,1.0
BraTS20_Training_043,0.22966077671737695,23.108440399169922
BraTS20_Training_138,0.8943727222187906,2.2360680103302
BraTS20_Training_354,0.752164965980371,5.385164737701416
BraTS20_Training_011,0.913109559751668,1.0
BraTS20_Training_193,0.8206284431748623,39.824615478515625
BraTS20_Training_005,0.6534152724278868,34.949960708618164
BraTS20_Training_279,0.5949378479789345,70.22178916931156
BraTS20_Training_281,0.8570089217072375,34.01102638244629
BraTS20_Training_003,0.7693615629853675,4.123105525970459
BraTS20_Training_006,0.9077134826912179,2.2360680103302
BraTS20_Training_162,0.9271456195150974,1.0
BraTS20_Training_366,0.9479717910070082,1.0
BraTS20_Training_065,0.7390050345592628,9.281636810302619
BraTS20_Training_144,0.9341023929354525,1.0
BraTS20_Training_331,0.7718772560374473,7.071067810058594
BraTS20_Training_002,0.8522002363690399,2.2360680103302
BraTS20_Training_357,0.7338358250409432,63.392823028564464
BraTS20_Training_161,0.9334002578562501,1.0
BraTS20_Training_158,0.754886094858708,8.366600036621094
BraTS20_Training_289,0.9374525939760706,1.0
BraTS20_Training_041,0.9409497713294434,1.0
BraTS20_Training_301,0.8190334483195773,6.4031243324279785
BraTS20_Training_181,0.9387258488052426,1.0
BraTS20_Training_315,0.9713097239237585,1.0
BraTS20_Training_040,0.9323492273465216,1.0
BraTS20_Training_082,0.7214368060190522,11.704699516296387
BraTS20_Training_312,0.8950339593337358,2.0
BraTS20_Training_054,0.9190873094563389,1.0
BraTS20_Training_154,0.8899286033889073,3.0
BraTS20_Training_236,0.8050151119138572,9.433980941772461
BraTS20_Training_185,0.9182374279820755,3.0
BraTS20_Training_341,0.23471121177802945,13.0
BraTS20_Training_340,0.9223980006169381,1.4142135381698608
BraTS20_Training_125,0.9594975399317758,1.0
BraTS20_Training_282,0.941455321166153,1.0
BraTS20_Training_314,0.36155606407322655,25.01999282836914
BraTS20_Training_131,0.8619530017437516,2.8284270763397217
BraTS20_Training_108,0.7943133023338598,6.324555397033691
BraTS20_Training_135,0.8984010699990048,2.4494898319244385
BraTS20_Training_202,0.867913179174351,6.324555397033691
BraTS20_Training_270,0.9432024976781326,1.0
BraTS20_Training_070,0.8759912838465385,3.0
BraTS20_Training_308,0.41175434269405586,19.54482078552246
BraTS20_Training_035,0.8389047746394848,4.0
BraTS20_Training_304,0.7679128031208955,4.358899116516113
BraTS20_Training_004,0.9373466275659825,1.0
BraTS20_Training_129,0.8667484553758832,1.7320507764816284
BraTS20_Training_369,0.9200539789883082,1.0
BraTS20_Training_231,0.9550970697829524,1.0
BraTS20_Training_046,0.43260673827920515,22.516660690307617
BraTS20_Training_060,0.9253923523066758,1.0
BraTS20_Training_324,0.9069214860880916,1.0
BraTS20_Training_163,0.9621813596180818,0.0
BraTS20_Training_235,0.9524048578889988,1.0
BraTS20_Training_189,0.9260095550751328,1.4142135381698608
BraTS20_Training_059,0.7057356053012586,6.4031243324279785
BraTS20_Training_173,0.8201399309069338,7.681145668029785
