id,BRAIN_dice,BRAIN_haus95,BRAIN_avg_surf
A00060407,0.9896266527181484,0.0,0.36950239935989626
A00037848,0.9874039599136339,0.0,0.3812601897655504
A00058952,0.9903840031100967,0.0,0.39351945096630203
A00033747,0.9906004973672062,0.0,0.3076833490652576
A00060430,0.9909111207690559,0.0,0.2502927775901503
A00040628,0.9913030178630741,0.0,0.27347320627498073
A00059845,0.9900678627261646,0.0,0.2816666360864982
A00028185,0.9847806542934071,0.0,0.49045737606545403
A00037511,0.9906612566105779,0.0,0.3627201051343397
A00057372,0.9888127283671794,0.0,0.4902309083808932
A00062282,0.9889075902627418,0.0,0.4917956341677273
A00061711,0.9890198783625846,0.0,0.41493649439202557
A00057444,0.987632494237585,0.0,0.42420758260558034
A00055446,0.9899673037544727,0.0,0.32795908413420977
A00040193,0.9918084372508145,0.0,0.23682197153337414
A00062942,0.9920570649012197,0.0,0.23274165656803555
A00050940,0.9898386175954893,0.0,0.3335739655467693
A00056452,0.990252753555291,0.0,0.3483117560290594
A00040623,0.9893018727677088,0.0,0.28612520486506676
A00061806,0.9874361173135371,0.0,0.4256154627595441
A00059344,0.9884369066852743,0.0,0.43881538159084504
A00063368,0.9863451549321216,0.0,0.4147843595794324
A00055763,0.9882163343503065,0.0,0.3169978789599143
A00043299,0.9920506980721524,0.0,0.20450745136032583
A00053455,0.9922132084903742,0.0,0.2576929708457699
Mean,0.9895214474508083,0.0,0.35022773014508013
Std,0.0018306478286324597,0.0,0.08363502854898426
25th Percentile,0.9884369066852743,0.0,0.2816666360864982
50th Percentile,0.9898386175954893,0.0,0.3483117560290594
75th Percentile,0.9906612566105779,0.0,0.41493649439202557
