id,BRAIN_dice,BRAIN_haus95,BRAIN_avg_surf
A00060407,0.9889776002568555,0.0,0.5376613425559899
A00037848,0.9876584082550667,0.0,0.3787322282881949
A00058952,0.9889798487351706,0.0,0.5634278756551466
A00033747,0.9907163942618471,0.0,0.28519554013859283
A00060430,0.9888458344728387,0.0,0.3386840675494844
A00040628,0.9905226404429599,0.0,0.2539258126775357
A00059845,0.9899164448845701,0.0,0.2719306333660785
A00028185,0.9848206656678448,0.0,0.604101055023549
A00037511,0.9904566445036436,0.0,0.44034984357062235
A00057372,0.9853729827802885,0.0,0.6548980071816788
A00062282,0.9885954141488026,0.0,0.5559288162694583
A00061711,0.9875380913072644,0.0,0.48712400944180456
A00057444,0.9874613181904115,0.0,0.40919054781082764
A00055446,0.9878044700070607,0.0,0.37807423684477615
A00040193,0.9894456577393703,0.0,0.32227899522431164
A00062942,0.989376913710963,0.0,0.3305542771712249
A00050940,0.9862724930468678,0.0,0.5176665442460955
A00056452,0.988439327773121,0.0,0.48702497956180957
A00040623,0.987899838123114,0.0,0.36271532133636003
A00061806,0.986279865796415,0.0,0.48456812937395227
A00059344,0.9883224602897177,0.0,0.5334617844866992
A00063368,0.9843515778921865,0.0,0.5199570876285288
A00055763,0.9855746558350466,0.0,0.4117470811865137
A00043299,0.9902689506531382,0.0,0.2941502044026274
A00053455,0.9895946658479446,0.0,0.4520901502399681
Mean,0.9881397265849006,0.0,0.43501754284927313
Std,0.0017970669936072878,0.0,0.10916853987205465
25th Percentile,0.9874613181904115,0.0,0.3386840675494844
50th Percentile,0.988439327773121,0.0,0.44034984357062235
75th Percentile,0.9894456577393703,0.0,0.5199570876285288
