id,WT_dice,WT_haus95
BraTS20_Training_313,0.9499405148482986,1.0
BraTS20_Training_056,0.8052462158699073,33.6749153137207
BraTS20_Training_187,0.934814506653474,1.4142135381698608
BraTS20_Training_178,0.9681981066481253,0.0
BraTS20_Training_221,0.9126498606062396,4.123105525970459
BraTS20_Training_346,0.9397663883048227,1.0
BraTS20_Training_245,0.8189693187338839,6.7082037925720215
BraTS20_Training_134,0.8037953088588665,10.630146026611328
BraTS20_Training_320,0.8408317804005088,10.488088607788086
BraTS20_Training_182,0.9219795869926418,1.0
BraTS20_Training_353,0.9409896097593258,1.0
BraTS20_Training_096,0.9605916227563686,0.0
BraTS20_Training_128,0.9038062093346355,1.7320507764816284
BraTS20_Training_159,0.8364936714816732,11.12196741104113
BraTS20_Training_290,0.8888672763036644,3.7416574954986572
BraTS20_Training_293,0.5413319630501547,22.29349708557129
BraTS20_Training_183,0.9538583510978913,1.0
BraTS20_Training_119,0.8391893477240732,1.7320507764816284
BraTS20_Training_026,0.9364225055703457,1.0
BraTS20_Training_266,0.9378713159631887,1.0
BraTS20_Training_019,0.895712781189724,2.2360680103302
BraTS20_Training_227,0.8045323374639279,10.057319641112992
BraTS20_Training_302,0.8064725787149755,4.123105525970459
BraTS20_Training_277,0.7532448377581121,12.206555366516113
BraTS20_Training_219,0.8678702118974815,8.0
BraTS20_Training_048,0.6740724283492557,14.0
BraTS20_Training_249,0.9151383049549016,2.0
BraTS20_Training_365,0.9575531684614969,0.0
BraTS20_Training_223,0.9625730092927923,1.0
BraTS20_Training_027,0.7407224257681674,6.480740547180176
BraTS20_Training_368,0.9472560402297805,1.0
BraTS20_Training_171,0.8334560366051567,9.0
BraTS20_Training_028,0.8695058695058695,1.7320507764816284
BraTS20_Training_241,0.9469254235206067,1.0
BraTS20_Training_260,0.7026195480250472,9.219544410705566
BraTS20_Training_045,0.940625627765387,1.0
BraTS20_Training_337,0.9608174615435545,1.0
BraTS20_Training_165,0.9542702809750301,1.0
BraTS20_Training_332,0.9542410525066545,1.0
BraTS20_Training_336,0.9712500535757657,0.0
BraTS20_Training_199,0.9526581568242389,1.0
BraTS20_Training_067,0.9503190091949709,1.0
BraTS20_Training_155,0.9463926033682091,1.0
BraTS20_Training_356,0.8366752172336454,7.141428470611572
BraTS20_Training_038,0.8779268745546333,1.4142135381698608
BraTS20_Training_299,0.9139167035036805,2.0
BraTS20_Training_072,0.7595738146424437,5.656854152679443
BraTS20_Training_097,0.9157895435860998,1.0
BraTS20_Training_317,0.9456728936332444,1.0
BraTS20_Training_043,0.774894406259254,10.29563045501709
BraTS20_Training_138,0.9117503236742026,2.0
BraTS20_Training_354,0.7971125405919706,8.66025447845459
BraTS20_Training_011,0.90022427195926,1.4142135381698608
BraTS20_Training_193,0.8525155317739999,43.943145751953125
BraTS20_Training_005,0.7084118554051739,31.874753952026367
BraTS20_Training_279,0.7434682203070049,14.866068840026855
BraTS20_Training_281,0.8974574690415735,2.0
BraTS20_Training_003,0.7685623556581986,3.1622776985168457
BraTS20_Training_006,0.9307116245249214,1.4142135381698608
BraTS20_Training_162,0.9398385660811696,1.0
BraTS20_Training_366,0.9504357241219817,1.0
BraTS20_Training_065,0.7240367028879702,37.161808013916016
BraTS20_Training_144,0.925941292142417,1.0
BraTS20_Training_331,0.7840002525113038,6.480740547180176
BraTS20_Training_002,0.8858115905316785,1.4142135381698608
BraTS20_Training_357,0.7620370182658585,17.0
BraTS20_Training_161,0.9512978705256874,1.0
BraTS20_Training_158,0.8717402575564368,3.7416574954986572
BraTS20_Training_289,0.945385013529713,1.0
BraTS20_Training_041,0.9400133303710286,1.0
BraTS20_Training_301,0.8679285258057984,6.4031243324279785
BraTS20_Training_181,0.9282341135149493,1.0
BraTS20_Training_315,0.9667145764255525,1.0
BraTS20_Training_040,0.933343615692858,1.0
BraTS20_Training_082,0.7400698514177471,11.0
BraTS20_Training_312,0.9198333435451259,1.0
BraTS20_Training_054,0.8969083299581477,1.4142135381698608
BraTS20_Training_154,0.9361223300580706,1.0
BraTS20_Training_236,0.7339533432273655,11.401754379272461
BraTS20_Training_185,0.9268087924041951,2.0
BraTS20_Training_341,0.9077675423632434,1.4142135381698608
BraTS20_Training_340,0.903745178701321,40.62019348144531
BraTS20_Training_125,0.9722871873920323,0.0
BraTS20_Training_282,0.9632242222067784,1.0
BraTS20_Training_314,0.703813104189044,17.492855072021484
BraTS20_Training_131,0.9048321217393869,1.4142135381698608
BraTS20_Training_108,0.937547943393731,1.0
BraTS20_Training_135,0.912950644095355,2.0
BraTS20_Training_202,0.9457931320676419,1.0
BraTS20_Training_270,0.9609097272266491,1.0
BraTS20_Training_070,0.9074788112473173,18.466184616088867
BraTS20_Training_308,0.8905907440744484,2.2360680103302
BraTS20_Training_035,0.8362309204849273,3.316624879837036
BraTS20_Training_304,0.8711282131281091,3.0
BraTS20_Training_004,0.9508791919738124,0.0
BraTS20_Training_129,0.9267850117622499,1.0
BraTS20_Training_369,0.9521748074738603,1.0
BraTS20_Training_231,0.9705230545734849,0.0
BraTS20_Training_046,0.6255831692476894,15.26269798278799
BraTS20_Training_060,0.9266555618992683,1.0
BraTS20_Training_324,0.804721722691013,75.80896759033203
BraTS20_Training_163,0.9664530893957731,1.0
BraTS20_Training_235,0.9565346730163126,1.0
BraTS20_Training_189,0.9500146707465313,1.0
BraTS20_Training_059,0.7602192703307532,7.0
BraTS20_Training_173,0.839019345943384,3.605551242828369
BraTS20_Training_348,0.9747001345737523,0.0
BraTS20_Training_321,0.9361495624502784,1.0
